0,0.000,724.155
1,-1.000,723.155
2,-4.000,720.155
3,-9.000,715.155
4,-16.000,708.155
5,-25.000,699.155
6,-36.000,688.155
7,-49.000,675.155
8,-64.000,660.155
9,-81.000,643.155
10,-100.000,624.155
11,-121.000,603.155
12,-144.000,580.155
13,-169.000,555.155
14,-196.000,528.155
15,-225.000,499.155
16,-256.000,468.155
17,-289.000,435.155
18,-324.000,400.155
19,-361.000,363.155
20,-400.000,324.155
21,-441.000,283.155
22,-484.000,240.155
23,224.287,255.862
24,177.287,208.862
25,128.287,159.862
26,77.287,108.862
27,24.287,55.862
28,240.000,256.254
29,183.000,199.254
30,124.000,140.254
31,63.000,79.254
32,0.000,16.254
33,183.544,208.743
34,116.544,141.743
35,47.544,72.743
36,228.093,246.024
37,155.093,173.024
38,80.093,98.024
39,3.093,21.024
40,171.243,195.507
41,90.243,114.507
42,7.243,31.507
43,199.000,231.508
44,112.000,144.508
45,23.000,55.508
46,183.509,203.858
47,90.509,110.858
48,-4.491,15.858
49,144.087,169.039
50,45.087,70.039
51,207.686,217.753
52,104.686,114.753
53,-0.314,9.753
54,156.000,168.047
55,47.000,59.047
56,182.278,196.339
57,69.278,83.339
58,210.691,227.014
59,93.691,110.014
60,217.631,255.059
61,96.631,134.059
62,252.000,295.116
63,127.000,170.116
64,0.000,43.116
65,119.928,144.067
66,243.018,270.071
67,110.018,137.071
68,230.519,275.888
69,93.519,138.888
70,220.000,240.078
71,79.000,99.078
72,187.803,202.521
73,42.803,57.521
74,141.371,161.505
75,-7.629,12.505
76,105.436,114.876
77,215.000,239.094
78,60.000,84.094
79,152.756,205.164
80,-6.244,46.164
81,75.557,103.678
82,174.526,235.575
83,9.526,70.575
84,112.000,126.027
85,194.170,264.829
86,23.170,93.829
87,66.262,141.118
88,165.517,199.758
89,-11.483,22.758
90,92.000,165.802
91,145.057,175.258
92,225.856,274.133
93,40.856,89.133
94,100.727,141.534
95,191.000,217.256
96,0.000,26.256
97,49.804,66.084
98,105.037,145.157
99,153.835,185.438
100,240.000,257.809
101,39.000,56.809
102,81.760,114.123
103,134.607,164.041
104,190.046,198.454
105,239.000,250.011
106,28.000,39.011
107,48.544,73.813
108,108.934,117.753
109,125.595,156.224
110,188.000,210.630
111,216.322,236.796
112,-6.678,13.796
113,18.512,36.885
114,38.785,111.200
115,87.000,104.356
116,103.172,136.652
117,108.053,189.212
118,119.429,158.116
119,175.000,203.055
120,163.556,289.103
121,197.340,213.827
122,195.080,239.692
123,231.000,238.062
124,227.810,274.388
125,230.484,262.515
126,239.410,255.938
127,255.000,353.108
128,0.000,98.108
129,229.653,271.516
130,249.607,264.190
131,247.000,315.267
132,220.308,248.629
133,184.455,247.168
134,212.396,248.444
135,207.000,222.170
136,112.988,228.571
137,163.622,181.169
138,137.268,164.828
139,135.000,145.139
140,110.075,118.796
141,64.739,91.876
142,0.923,63.160
143,31.000,66.617
