0,0.5229
1,-0.1864
2,0.1122
3,0.4140
4,-0.3009
5,-0.0002
6,0.2547
7,-0.4167
8,-0.2044
9,0.2388
10,0.4293
11,-0.2030
12,0.0070
13,0.2164
14,-0.3762
15,-0.1228
16,0.2091
17,0.4576
18,-0.2615
19,0.0272
20,0.3192
21,-0.4055
22,-0.1147
23,0.1303
24,0.4575
25,-0.3277
26,0.0849
27,0.3069
28,-0.3766
29,-0.1350
30,0.1511
31,0.4536
32,-0.2943
33,-0.0137
34,0.2663
35,-0.5040
36,-0.1838
37,0.0984
38,0.3347
39,-0.3552
40,-0.1614
41,0.2633
42,0.4352
43,-0.2156
44,-0.0241
45,0.1668
46,0.5885
47,-0.2095
48,0.1038
49,0.3338
50,-0.4039
51,-0.1337
52,0.1398
53,0.4088
54,-0.3312
55,-0.1047
56,0.2040
57,0.4746
58,-0.2057
59,-0.0022
60,0.1801
61,0.5931
62,-0.2136
63,0.0704
64,0.3124
65,-0.4340
66,-0.1725
67,0.0923
68,0.3319
69,-0.3960
70,-0.1782
71,0.1218
72,0.3423
73,-0.3053
74,-0.1518
75,0.0631
76,0.3602
77,-0.4759
78,-0.0727
79,0.1192
80,0.2899
81,-0.3830
82,-0.1269
83,0.1455
84,0.3759
85,-0.3821
86,-0.1321
87,0.1210
88,0.3491
89,-0.3904
90,-0.1842
91,0.1042
92,0.3545
93,-0.3460
94,-0.1628
95,-0.0008
96,0.3920
97,-0.4350
98,-0.1713
99,0.0090
100,0.1681
101,-0.5164
102,-0.2719
103,-0.0111
104,0.2077
105,0.4505
106,-0.3234
107,-0.0819
108,0.1346
109,0.3919
110,-0.4425
111,-0.0584
112,0.0937
113,0.2659
114,-0.4467
115,-0.2098
116,0.0641
117,0.2547
118,0.3827
119,-0.2915
120,-0.0988
121,0.1722
122,0.3599
123,-0.3993
124,-0.1921
125,0.0391
126,0.2659
127,0.4921
128,-0.3115
129,-0.0657
130,0.1625
131,0.3450
132,-0.3987
133,-0.2381
134,0.1327
135,0.2715
136,0.4097
137,-0.2956
138,-0.0720
139,0.1887
140,0.3246
141,-0.4244
142,-0.2069
143,-0.0276
144,0.2302
145,0.4046
146,-0.3887
147,-0.1741
148,0.0438
149,0.2572
150,0.4701
151,-0.3675
152,-0.1144
153,0.1006
154,0.2698
155,-0.4873
156,-0.3607
157,-0.0032
158,0.1429
159,0.2678
160,-0.4508
161,-0.2405
162,-0.0138
163,0.1294
164,0.2514
165,-0.4701
166,-0.2626
167,-0.0389
168,0.1428
169,0.3485
170,-0.4625
171,-0.2579
172,-0.0785
173,0.1417
174,0.3445
175,-0.3827
176,-0.2677
177,-0.1325
178,0.2128
179,0.3261
180,-0.4455
181,-0.2919
182,-0.2011
183,0.1414
184,0.2518
185,0.3823
186,-0.3720
187,-0.1768
188,0.0555
189,0.2044
190,0.3979
191,-0.4252
192,-0.2329
193,-0.0449
194,0.1425
195,0.3331
196,0.4986
197,-0.3034
198,-0.1598
199,0.0661
200,0.2125
201,0.3751
202,-0.4299
203,-0.2891
204,-0.0661
205,0.1187
206,0.2371
207,0.5656
208,-0.4329
209,-0.1055
210,0.0105
211,0.1919
212,0.4102
213,-0.4632
214,-0.2667
215,-0.1122
216,0.0249
217,0.2404
218,0.3725
219,-0.4423
220,-0.2907
221,-0.1151
222,0.0560
223,0.2266
224,0.4005
225,-0.4423
226,-0.2697
227,-0.1428
228,0.0663
229,0.2373
230,0.3624
231,-0.4387
232,-0.3561
233,-0.0426
234,0.0182
235,0.1404
236,0.3449
237,-0.5838
238,-0.2733
239,-0.1740
240,-0.0960
241,0.2128
242,0.3103
243,0.4732
244,-0.3807
245,-0.2190
246,-0.0410
247,0.0950
248,0.2135
249,0.4105
250,-0.4430
251,-0.3093
252,-0.1762
253,-0.0192
254,0.1335
255,0.2855
256,0.4408
257,-0.4205
258,-0.2664
259,-0.1580
260,0.0326
261,0.1850
262,0.2916
263,0.4804
264,-0.4639
265,-0.1690
266,-0.1268
267,-0.0230
268,0.1629
269,0.3107
270,-0.4923
271,-0.4116
272,-0.3521
273,-0.0618
274,0.0171
275,0.1614
276,0.3427
277,0.4407
278,-0.4083
279,-0.2908
280,-0.1908
281,-0.0124
282,0.0826
283,0.2223
284,0.3989
285,-0.5162
286,-0.3821
287,-0.2485
288,-0.1118
289,0.0206
290,0.1524
291,0.2874
292,0.3974
293,-0.4603
294,-0.3722
295,-0.2019
296,-0.1112
297,-0.0041
298,0.1438
299,0.2742
300,0.3795
301,-0.4828
302,-0.4201
303,-0.1471
304,-0.1062
305,-0.0452
306,0.2260
307,0.2652
308,0.3245
309,-0.5011
310,-0.4843
311,-0.2160
312,-0.1797
313,-0.1233
314,0.1225
315,0.1778
316,0.2118
317,0.4766
318,-0.4784
319,-0.3427
320,-0.2489
321,-0.1313
322,0.0027
323,0.0533
324,0.0827
325,0.3428
326,0.3917
327,-0.4857
328,-0.3966
329,-0.2835
330,-0.1542
331,-0.0668
332,0.0445
333,0.1514
334,0.2577
335,0.3258
336,-0.5399
337,-0.4729
338,-0.3688
339,-0.2654
340,-0.1588
341,-0.0565
342,0.0452
343,0.1501
344,0.2299
345,0.3506
346,0.4538
347,-0.4597
348,-0.3577
349,-0.3221
350,-0.2044
351,-0.1041
352,-0.0289
353,0.0871
354,0.1857
355,0.2385
356,0.3734
357,-0.6041
358,-0.3630
359,-0.3539
360,-0.3454
361,-0.1061
362,-0.1195
363,-0.0713
364,0.0590
365,0.1512
366,0.1769
367,0.4128
368,0.4166
369,-0.4437
370,-0.4203
371,-0.3316
372,-0.2059
373,-0.1635
374,-0.1838
375,0.0474
376,0.0466
377,0.0660
378,0.2748
379,0.2930
380,0.2899
381,0.5176
382,-0.4744
383,-0.3757
384,-0.3190
385,-0.2384
386,-0.1415
387,-0.1280
388,-0.1357
389,0.0874
390,0.0992
391,0.1764
392,0.2905
393,0.3212
394,0.3966
395,0.5090
396,-0.4704
397,-0.4006
398,-0.3313
399,-0.3002
400,-0.1907
401,-0.1646
402,-0.0938
403,-0.0068
404,0.0383
405,0.1073
406,0.1927
407,0.2360
408,0.2619
409,0.3662
410,0.3871
411,-0.5389
412,-0.4985
413,-0.4341
414,-0.3741
415,-0.3147
416,-0.2520
417,-0.1938
418,-0.1361
419,-0.0752
420,-0.0393
421,-0.0041
422,0.0551
